district_id,district,neighborhood_id,neighborhood,centroid_lon,centroid_lat,area_km2,mobility_label,green_share,green_share_label,n_playgrounds,playgrounds_per_km2,playgrounds_density_label,n_venues,venues_per_km2,n_cuisine_types,V_score,C_score,VV_index,vibrancy_label
11011011,Lichtenberg,1104,Falkenberg,13.549657,52.575753,3.0513182051660666,remote,0.2001144944392214,above average,2,0.6554544185571596,below average,1,0.3277272092785798,1,0.0,0.0,0.0,sparse
11011011,Lichtenberg,1111,Fennpfuhl,13.472671,52.529209,2.121429815263622,moderate,0.0905846606931561,above average,22,10.37036429002302,above average,23,10.841744485024067,10,31.85486217732719,15.384615384142014,26.09027579971238,vibrant
11011011,Lichtenberg,1101,Friedrichsfelde,13.517325,52.502843,5.834027864041142,moderate,0.3367652753442771,above average,35,5.999285710602698,above average,30,5.142244894802312,14,13.916484878296083,27.692307691455625,18.73802286290192,average
11011011,Lichtenberg,1102,Karlshorst,13.529472,52.483393,6.545313484946559,moderate,0.0667401188659135,average,14,2.13893498488626,above average,24,3.666745688376445,15,9.27255762638477,30.76923076828403,16.79639322604951,average
11011011,Lichtenberg,1103,Lichtenberg,13.497028,52.521557,7.198748795543112,moderate,0.1082706206504316,above average,18,2.500434521502425,above average,50,6.945651448617847,12,19.592454614549688,21.53846153779882,20.273557037686885,average
11011011,Lichtenberg,1106,Malchow,13.487574,52.577563,1.5171028884696744,moderate,0.29695085509621,above average,4,2.6366043004735578,above average,2,1.3183021502367789,1,1.8811602614484229,0.0,1.2227541699414748,sparse
11011011,Lichtenberg,1109,Neu-Hohenschönhausen,13.512551,52.566833,5.150819251548231,moderate,0.1767347980083699,above average,30,5.824316198046089,above average,11,2.135582605950233,8,4.453436115080269,9.230769230485208,6.125502705471998,sparse
11011011,Lichtenberg,1112,Rummelsburg,13.491784,52.497465,4.405210367525819,moderate,0.0221884976755147,below average,15,3.4050587255892464,above average,43,9.761168346689171,12,28.45390001162464,21.53846153779882,26.033496545785603,vibrant
11011011,Lichtenberg,1107,Wartenberg,13.51739,52.583728,6.919598086684342,remote,0.1542939324835246,above average,5,0.7225853203268697,below average,2,0.2890341281307478,2,0.0,0.0,0.0,sparse
11010010,Marzahn-Hellersdorf,1002,Biesdorf,13.55937,52.507325,12.435189504753131,moderate,0.0881905739820706,above average,15,1.206254234747811,below average,20,1.6083389796637482,10,2.7940105905899104,15.384615384142014,7.200722268333147,average
11010010,Marzahn-Hellersdorf,1005,Hellersdorf,13.600793,52.533935,8.142247621380466,well-connected,0.1772312839283728,above average,33,4.052934955373546,above average,32,3.9301187446046506,8,10.10148746105411,9.230769230485208,9.796736080354997,average
11010010,Marzahn-Hellersdorf,1003,Kaulsdorf,13.588183,52.502718,8.683232887183287,moderate,0.0548928614713934,average,7,0.8061513598618564,below average,13,1.4971382397434476,8,2.4440218245508607,9.230769230485208,4.819383416627883,sparse
11010010,Marzahn-Hellersdorf,1004,Mahlsdorf,13.617123,52.503002,12.9814319990823,moderate,0.0120010411802806,below average,12,0.9243972468405888,below average,18,1.3865958702608834,9,2.096105187323769,12.307692307313612,5.6701606793202135,sparse
11010010,Marzahn-Hellersdorf,1001,Marzahn,13.552495,52.544749,19.540374584558503,moderate,0.193752529339526,above average,86,4.401143879194632,above average,57,2.917037222256907,19,6.912955153107482,43.07692307559764,19.57034392597904,average
11001001,Mitte,106,Gesundbrunnen,13.384493,52.55062,6.123739019058033,well-connected,0.0156322631813798,below average,18,2.939380653548622,above average,149,24.331539854374707,36,74.31210516709628,95.38461538168048,81.68748374220075,vibrant
11001001,Mitte,103,Hansaviertel,13.341792,52.518542,0.5280376314437698,well-connected,0.1449309584067958,above average,0,0.0,below average,11,20.83184861261423,14,63.2973167754067,27.692307691455625,50.83556359602382,vibrant
11001001,Mitte,101,Mitte,13.39785,52.521298,10.673581959009365,well-connected,0.0873928455866351,above average,61,5.715044886923932,above average,950,89.00479741930714,83,100.0,100.0,100.0,vibrant
11001001,Mitte,102,Moabit,13.343243,52.529351,7.705435414749556,well-connected,0.0911481002949692,above average,49,6.359147454043336,above average,233,30.23839503657341,51,92.90310517186948,100.0,95.38701836171516,vibrant
11001001,Mitte,104,Tiergarten,13.35818,52.510467,5.177866102799809,well-connected,0.3858142447754285,above average,18,3.4763355487827163,above average,119,22.98244057250796,32,70.06600398770554,83.07692307436687,74.61982566803701,vibrant
11001001,Mitte,105,Wedding,13.341554,52.550858,9.240705924961334,well-connected,0.2548166903179372,above average,98,10.605250377601434,above average,217,23.48305440754603,39,71.64161597115661,100.0,81.56705038125179,vibrant
11008008,Neukölln,802,Britz,13.436732,52.443951,12.38642422789277,moderate,0.1174958949591532,above average,38,3.0678749008473707,above average,45,3.633009751003465,14,9.166378484943785,27.692307691455625,15.650453707222928,average
11008008,Neukölln,803,Buckow,13.436286,52.423845,6.345583079714453,moderate,0.030696785079168,average,12,1.891079172591968,average,32,5.042877793578581,14,13.603740833903066,27.692307691455625,18.534739234046462,average
11008008,Neukölln,805,Gropiusstadt,13.464149,52.426579,2.667835657836764,well-connected,0.1094531438404916,above average,8,2.9986854611902385,above average,12,4.498028191785358,6,11.88890296551164,3.076923076828403,8.804710004472508,average
11008008,Neukölln,801,Neukölln,13.441404,52.475141,11.696334730246756,well-connected,0.0660541116356799,average,57,4.87332154171322,above average,521,44.54386882864189,84,100.0,100.0,100.0,vibrant
11008008,Neukölln,804,Rudow,13.49551,52.416827,11.811732515691563,moderate,0.08167116879073,average,20,1.6932317061388364,average,33,2.7938323151290807,11,6.525184950800115,18.461538460970417,10.70290867935972,average
11003003,Pankow,303,Blankenburg,13.456659,52.592556,6.058426838959264,moderate,0.0310863702750189,average,1,0.1650593506501406,below average,3,0.4951780519504218,3,0.0,0.0,0.0,sparse
11003003,Pankow,308,Blankenfelde,13.398976,52.623402,13.264068753023052,remote,0.0546602640185168,average,0,0.0,below average,4,0.3015665912534077,3,0.0,0.0,0.0,sparse
11003003,Pankow,309,Buch,13.478562,52.642715,18.233197926592524,remote,0.0370840267693163,average,8,0.4387601139530362,below average,9,0.4936051281971658,11,0.0,18.461538460970417,6.461538461339646,sparse
11003003,Pankow,310,Französisch Buchholz,13.4381,52.612703,12.025817142830745,remote,0.0373867983073429,average,16,1.3304709201851193,below average,6,0.4989265950694196,6,0.0,3.076923076828403,1.076923076889941,sparse
11003003,Pankow,304,Heinersdorf,13.441032,52.570635,3.851653882135905,moderate,0.026050108101707,average,3,0.7788861854680392,below average,7,1.817401099425425,5,3.452004353701011,0.0,2.243802829905657,sparse
11003003,Pankow,305,Karow,13.479601,52.612175,6.605062258850936,moderate,0.0452112316730759,average,10,1.5139902711136095,average,7,1.059793189779527,7,1.067539487474111,6.153846153656806,2.8477468206380543,sparse
11003003,Pankow,311,Niederschönhausen,13.39791,52.581946,6.482204022086766,moderate,0.1197837490696627,above average,18,2.776833302171412,above average,24,3.702444402895216,11,9.384914334195884,18.461538460970417,12.56173277856697,average
11003003,Pankow,307,Pankow,13.414565,52.567144,5.65247571263964,well-connected,0.0316954922246512,average,26,4.599754394673605,above average,65,11.499385986684011,17,33.92469676500166,36.92307692194083,34.974129819930376,vibrant
11003003,Pankow,301,Prenzlauer Berg,13.43071,52.539752,11.003472545096423,moderate,0.0946012902503114,above average,98,8.906279322128414,above average,667,60.61722763122095,101,100.0,100.0,100.0,vibrant
